Date,Close,High,Low,Open,Volume,Intraday Range,Year,Month,MA_20,MA_50,Volatility_20,Volatility_50
2010-01-04,6.43189811706543,6.446624608173617,6.3829098625572005,6.41446668654143,493729600,0.06371474561641666,2010,1,,,,
2010-01-05,6.443016529083252,6.4793821235584055,6.409054923226288,6.449628601266614,601904800,0.07032720033211781,2010,1,,,,
2010-01-06,6.3405303955078125,6.468561319289456,6.333918324807697,6.443015083760133,552160000,0.13464299448175954,2010,1,,,,
2010-01-07,6.328810214996338,6.371487735528592,6.282827460801755,6.363974016902019,477131200,0.0886602747268368,2010,1,,,,
2010-01-08,6.370885372161865,6.3714868708370425,6.2831279593800575,6.320394393643604,447610800,0.08835891145698493,2010,1,,,,
2010-01-11,6.314684867858887,6.401541037129568,6.264794584715682,6.395530062951679,462229600,0.1367464524138855,2010,1,,,,
2010-01-12,6.242855548858643,6.304467241714201,6.203785414119402,6.287035012483797,594459600,0.1006818275947996,2010,1,,,,
2010-01-13,6.330914497375488,6.339329862823668,6.134060272108536,6.247364749292684,605892000,0.2052695907151314,2010,1,,,,
2010-01-14,6.294248580932617,6.325204701724592,6.2819264831274175,6.314685896466499,432894000,0.04327821859717407,2010,1,,,,
2010-01-15,6.189059257507324,6.359466801011032,6.187255964862835,6.339330033147573,594067600,0.17221083614819666,2010,1,,,,
2010-01-19,6.4628520011901855,6.467360232264817,6.228430004309414,6.261188612985054,730007600,0.23893022795540375,2010,1,,,,
2010-01-20,6.363373756408691,6.4781801747506105,6.296352585470449,6.458945455016173,612152800,0.18182758928016174,2010,1,,,,
2010-01-21,6.253373622894287,6.410857943534868,6.227527235262426,6.373891654424182,608154400,0.18333070827244224,2010,1,,,,
2010-01-22,5.943216323852539,6.2362445740977535,5.925484747683451,6.214605863638267,881767600,0.31075982641430233,2010,1,,,,
2010-01-25,6.103104591369629,6.15209243870075,6.016548546840464,6.086274260524146,1065699600,0.13554389186028626,2010,1,,,,
2010-01-26,6.189361095428467,6.422882325061218,6.088379093904447,6.189661644265148,1867110000,0.3345032311567717,2010,1,,,,
2010-01-27,6.247664928436279,6.328810688068745,5.996711924017105,6.21670880664754,1722568400,0.33209876405163996,2010,1,,,,
2010-01-28,5.989497661590576,6.176134387027389,5.97176609126056,6.159003914082566,1173502400,0.20436829576682936,2010,1,,,,
2010-01-29,5.772207260131836,6.076956870273054,5.717809140329178,6.043296212897563,1245952400,0.3591477299438752,2010,1,,,,
2010-02-01,5.852450847625732,5.89061973022452,5.749365050498798,5.781522959061045,749876400,0.14125467972572192,2010,2,6.223200273513794,,0.19644104438534996,
2010-02-02,5.886412143707275,5.900237384215168,5.811878070780488,5.887915288507373,698342400,0.08835931343467962,2010,2,6.195925974845887,,0.20367496055491502,
